日期,用户数,1天后,2天后,3天后,4天后,5天后,6天后,7天后,14天后,30天后
20220928,827,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20220927,811,26.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20220926,1161,23.08%,18.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20220925,1522,21.22%,17.41%,15.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20220924,587,39.01%,37.14%,32.71%,31.52%,0.00%,0.00%,0.00%,0.00%,0.00%
20220923,478,37.45%,38.28%,34.94%,34.10%,31.80%,0.00%,0.00%,0.00%,0.00%
20220922,527,30.93%,34.91%,35.48%,33.21%,29.60%,30.36%,0.00%,0.00%,0.00%
20220921,557,32.32%,26.21%,32.68%,31.42%,29.62%,28.90%,29.98%,0.00%,0.00%
20220920,527,30.55%,29.60%,25.43%,29.41%,30.55%,27.70%,25.62%,0.00%,0.00%
20220919,489,31.29%,29.65%,29.24%,25.56%,30.06%,29.86%,31.70%,0.00%,0.00%
20220918,414,34.78%,35.51%,34.54%,35.51%,32.13%,35.75%,36.96%,0.00%,0.00%
20220917,587,28.45%,27.77%,25.72%,25.55%,26.41%,25.38%,28.45%,0.00%,0.00%
20220916,747,24.90%,20.88%,21.02%,19.81%,20.62%,21.82%,18.61%,0.00%,0.00%
20220915,486,36.01%,30.86%,30.04%,26.95%,27.78%,27.37%,28.19%,0.00%,0.00%
20220914,915,21.53%,26.78%,20.22%,17.70%,16.72%,17.60%,19.78%,20.00%,0.00%
20220913,971,30.28%,18.23%,24.20%,19.05%,16.07%,16.27%,16.27%,20.08%,0.00%
20220912,1039,27.33%,24.54%,17.04%,20.79%,17.04%,15.01%,12.03%,20.89%,0.00%
20220911,1305,21.38%,18.08%,17.70%,10.27%,14.56%,11.42%,9.73%,19.69%,0.00%
20220910,279,44.44%,40.50%,37.99%,36.20%,26.52%,29.75%,27.96%,26.88%,0.00%
20220909,572,18.18%,34.97%,35.66%,30.59%,29.72%,20.63%,25.87%,18.36%,0.00%
20220908,292,40.07%,29.45%,40.75%,41.10%,37.67%,36.64%,29.45%,27.40%,0.00%
20220907,546,23.63%,28.57%,17.77%,30.40%,27.29%,27.66%,27.84%,19.05%,0.00%
20220906,249,44.18%,38.55%,38.96%,28.92%,38.15%,34.94%,35.34%,30.12%,0.00%
20220905,699,15.02%,24.75%,15.59%,23.32%,13.16%,23.75%,22.60%,12.59%,0.00%
20220904,1439,15.64%,8.55%,14.25%,8.90%,14.04%,7.37%,18.69%,8.96%,0.00%
20220903,338,46.15%,31.66%,24.26%,29.29%,25.15%,29.88%,19.53%,29.29%,0.00%
20220902,331,32.33%,36.25%,28.10%,24.17%,25.08%,24.47%,26.59%,27.79%,0.00%
20220901,418,29.90%,26.79%,33.97%,27.27%,20.33%,22.25%,20.57%,22.01%,0.00%
