日期,二级场景,访问人数,访问人数占比
8月,视频号直播,1668.000000,0.472521
8月,公众号菜单,550.000000,0.155807
8月,公众号文章,428.000000,0.121246
8月,任务栏,398.000000,0.112748
8月,长按识别,206.000000,0.058357
8月,单聊分享,63.000000,0.017847
8月,手机端搜索,49.000000,0.013881
8月,群聊分享,41.000000,0.011615
8月,其他,37.000000,0.010482
8月,视频号基础功能,31.000000,0.008782
